@relation breast-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7}

@data
205,-7.188173,23.304017,32.00736,-258064.713176,6.189736,-40.099113,27.119346,-10.821664,-5.747744,17.521407,1,cluster5
206,-8.90615,-6.062556,9.41718,-260342.479772,6.471711,-30.001715,12.864247,-7.075258,-4.347053,21.714463,1,cluster5
207,-6.572275,297.740669,309.36324,-260467.462723,5.638992,-325.129457,310.145058,-10.60191,-11.203068,21.718147,1,cluster5
208,9.514872,-8.720437,-0.522875,-261892.612606,-1.740495,-9.583037,2.970619,14.130619,12.373935,-10.150591,1,cluster5
209,-26.144798,-30.141578,4.216441,-261924.429839,16.038121,-20.271516,1.378559,-21.977596,-17.091565,37.7661,1,cluster5
210,-15.503759,2410.120844,2401.36474,-262666.885491,8.511335,-2438.557231,2422.686849,-30.590969,-25.992417,56.234242,1,cluster2
211,3.948261,504.154978,494.418907,-268897.672831,1.139183,-502.904032,498.87874,-0.398566,-5.412208,1.378163,1,cluster5
212,-23.615115,481.863293,512.288424,-271681.36379,13.956653,-524.448224,513.101669,-25.959328,-17.092516,48.192202,1,cluster5
213,-7.390075,-15.557973,-1.589546,-273362.736105,5.258932,-19.660772,-2.055421,-7.417408,-5.5038,16.246616,1,cluster5
214,2.316537,-7.748713,-4.216193,-273539.964209,0.640829,-9.021129,1.569095,3.70091,7.166892,-2.459839,1,cluster5
215,4.340182,-4.42296,-3.87198,-274308.572562,1.182333,-7.985625,1.32774,3.275638,7.058417,-1.717792,1,cluster5
216,-24.998459,1228.077018,1224.286192,-275379.081963,5.386633,-1253.41299,1256.675807,-32.447872,-27.254497,40.093853,1,cluster2
217,1.112968,55.82497,56.761751,-278670.237117,-7.014619,-55.030141,51.360296,-3.87805,-5.200895,-6.615308,1,cluster5
218,0.069029,2330.107438,2330.706641,-278822.40099,3.183501,-2357.367684,2337.679794,-11.506662,-7.188781,32.26305,1,cluster2
219,0.720782,168.663713,175.751348,-280710.758016,-4.154412,-168.257985,170.164967,0.427776,-1.977575,-3.718172,1,cluster5
220,-12.57328,159.155885,177.095045,-281830.619488,7.439944,-179.754192,177.269547,-11.281421,-7.252831,19.041342,1,cluster5
221,-10.590409,-0.215196,14.629797,-282366.507141,3.8222,-28.255886,9.507586,-12.567571,-8.552879,16.172733,1,cluster5
222,-12.829223,837.852719,844.818029,-288645.123803,2.50131,-859.036633,845.12198,-13.71689,-14.162816,14.600047,1,cluster2
223,0.819324,949.344235,946.186994,-291324.183553,-0.0377,-946.532647,947.668632,6.122115,-2.289503,4.86021,1,cluster2
224,-5.561024,551.805214,545.634139,-293348.571198,6.508133,-554.573116,554.195706,0.248765,1.837342,4.72966,1,cluster5
225,-14.434836,-30.647713,-7.81463,-295469.550185,-4.884351,-32.551975,-109.075314,-15.119649,-23.795908,78.715996,1,cluster5
226,-14.434836,-30.647713,-7.81463,-295471.282236,-4.884351,-32.551975,-109.075314,-15.119649,-23.795908,78.715996,1,cluster5
227,-14.434836,-30.647713,-7.81463,-295473.014287,-4.884351,-32.551975,-109.075314,-15.119649,-23.795908,78.715996,1,cluster5
228,-14.434836,-30.647713,-7.81463,-295474.746337,-4.884351,-32.551975,-109.075314,-15.119649,-23.795908,78.715996,1,cluster5
229,-14.434836,-30.647713,-7.81463,-295476.478388,-4.884351,-32.551975,-109.075314,-15.119649,-23.795908,78.715996,1,cluster5
230,-14.434836,-30.647713,-7.81463,-295478.210439,-4.884351,-32.551975,-109.075314,-15.119649,-23.795908,78.715996,1,cluster5
231,-0.677771,32.38044,35.912949,-296419.451524,3.841386,-37.328906,30.673251,-0.52707,4.034759,-1.717034,1,cluster5
232,4.74852,-10.115585,-1.449058,-302364.159284,-3.753909,-12.682301,4.710469,13.015338,10.870243,-12.189944,1,cluster5
233,-14.579736,374.96838,399.387389,-306125.560003,6.773442,-406.837901,391.992119,-14.792062,-12.127227,19.985362,1,cluster5
234,-5.783507,-2.270001,10.841696,-306953.714017,5.571782,-19.105082,3.348639,-11.711506,-6.47139,17.791236,1,cluster5
235,-6.433754,544.190066,551.649861,-307143.475318,4.14212,-559.687661,548.458137,-12.392589,-11.124588,15.11418,1,cluster5
236,-12.72102,1422.773942,1426.00936,-308593.578585,4.426203,-1434.810125,1425.165958,-11.181484,-15.139778,15.811602,1,cluster2
237,5.654305,2.798402,-3.172655,-310186.480303,0.468088,-6.875121,-4.043323,-3.510957,2.025525,4.301772,1,cluster5
238,-21.375883,723.293584,737.49512,-311303.469941,7.372281,-751.403572,741.419495,-16.219411,-15.73319,21.471015,1,cluster2
239,-21.086567,397.659051,411.28554,-318708.183585,5.380674,-426.048978,421.026642,-16.520113,-15.247146,22.029522,1,cluster5
240,-2.884837,71.609305,70.772533,-321571.375028,1.983229,-79.929457,72.599775,-1.735562,-3.755209,0.659245,1,cluster5
241,-14.036878,18.293505,28.359159,-325051.2775,6.361785,-38.826713,31.174093,-11.355188,-9.46719,20.108114,1,cluster5
242,-12.177876,119.954014,132.502915,-329593.402426,7.81526,-144.990518,134.428129,-12.754327,-10.823663,18.556119,1,cluster5
243,-8.04556,521.954887,539.747378,-330237.871397,9.198539,-541.982767,536.543417,-0.083315,-4.756705,22.167375,1,cluster5
244,-1.717318,48.854609,51.858449,-334874.534653,1.591669,-55.631519,56.39347,6.328872,4.96011,1.565714,1,cluster5
245,4.214874,54.215262,51.81947,-338216.343935,-0.241841,-51.466041,48.281458,-3.686331,-3.664001,-1.448778,1,cluster5
246,-25.415442,194.842482,221.288637,-338357.29294,15.40705,-230.9594,210.545074,-27.308296,-24.699824,41.340231,1,cluster3
247,-20.887691,151.318465,176.249003,-340073.112724,14.36843,-190.448477,175.572112,-23.843562,-18.732495,42.617968,1,cluster5
248,-20.995029,151.955374,176.994804,-340868.236711,13.173559,-190.562607,177.511121,-23.342273,-17.376386,44.345447,1,cluster5
249,-22.366899,360.742438,382.765617,-344748.247002,12.927118,-398.028898,385.240039,-23.075292,-16.346838,49.170432,1,cluster5
250,-22.308386,423.590691,441.468247,-346330.980193,15.541542,-458.180218,448.230879,-24.279223,-16.647217,51.290255,1,cluster5
251,11.088817,-6.133741,-0.255154,-346485.645665,-1.319325,-8.777645,2.782899,13.799851,12.289565,-9.573444,1,cluster5
252,8.053351,-11.12237,-0.771474,-346571.149464,-2.131581,-10.330901,3.144931,14.43776,12.452277,-10.686514,1,cluster5
253,6.075236,-9.7889,-1.588703,-346643.864462,-1.956967,-10.999948,3.532166,12.694824,11.590449,-10.639571,1,cluster5
254,0.155525,-10.167976,-1.658614,-346706.867961,-0.420728,-10.881331,11.036229,14.505407,13.407112,-8.437162,1,cluster5
255,-2.96816,218.001407,220.373152,-348467.556885,-0.304741,-226.520656,228.739377,1.751941,3.173714,0.694514,1,cluster5
256,10.555538,-6.289834,0.507198,-348584.737121,-0.732991,-8.688984,3.494207,13.720469,13.155137,-9.373521,1,cluster5
257,-5.806308,-16.189147,-1.377736,-348643.619494,4.583143,-16.32905,5.601857,3.454604,4.181793,8.10872,1,cluster5
258,10.775833,-5.615953,-6.279943,-348789.730004,-2.018095,-10.160174,3.05473,13.896169,8.648769,-10.744805,1,cluster5
259,-27.369183,170.034579,186.515429,-351530.585985,17.280122,-199.84831,193.497363,-28.080438,-19.406962,52.988481,1,cluster3
260,-12.351255,84.980588,108.615805,-358870.676131,8.345804,-106.537766,109.384193,-2.433174,-2.999602,21.044041,1,cluster5
261,5.440617,6.052636,-2.772529,-365131.998633,1.853333,-5.731919,-3.620986,-8.804389,1.870626,5.508463,1,cluster5
262,-9.416298,4.318505,9.05108,-376000.607152,5.890832,-27.004161,10.302623,-17.925965,-15.138003,20.418581,1,cluster5
263,-8.218285,-11.654019,-1.62073,-381028.063302,4.855327,-16.817184,4.14602,-3.01296,-0.35723,14.51826,1,cluster5
264,-17.262193,-20.724708,6.123847,-389205.200257,7.770897,-23.490009,-5.304912,-23.166979,-18.643494,30.981439,1,cluster5
265,-21.879215,-29.964687,10.770278,-390483.661097,11.160269,-24.477794,-5.666759,-29.853942,-21.831494,38.696984,1,cluster5
266,-21.879215,-29.964687,10.770278,-390485.393148,11.160269,-24.477794,-5.666759,-29.853942,-21.831494,38.696984,1,cluster5
267,-25.02823,859.585276,895.594337,-390487.572408,11.705379,-909.642791,882.365686,-31.38907,-24.210345,38.892934,1,cluster2
268,-25.02823,859.585276,895.594337,-390489.304459,11.705379,-909.642791,882.365686,-31.38907,-24.210345,38.892934,1,cluster2
269,-39.937895,-4.037932,29.736692,-393315.738825,12.05001,-38.019007,22.341201,-36.604496,-30.703249,49.030416,1,cluster3
270,-8.755592,614.428226,609.76522,-393773.120898,3.416033,-613.047364,616.868357,-0.076175,-0.576438,6.020448,1,cluster5
271,-6.431835,-5.938268,4.405722,-395525.569609,8.755615,-13.444663,-1.937772,-15.404089,-6.439297,22.717992,1,cluster5
272,-32.070706,-25.453582,0.522317,-395947.705734,9.750676,-24.370515,11.7366,-30.063044,-20.12327,52.028804,1,cluster3
273,-32.070706,-25.453582,0.522317,-395949.437785,9.750676,-24.370515,11.7366,-30.063044,-20.12327,52.028804,1,cluster3
274,-29.545993,411.712342,435.125007,-395953.983801,8.982117,-463.217835,448.002366,-29.143619,-19.759117,55.973888,1,cluster3
275,-29.545993,411.712342,435.125007,-395955.715852,8.982117,-463.217835,448.002366,-29.143619,-19.759117,55.973888,1,cluster3
276,-14.690367,-17.687048,4.079789,-397140.674712,9.058885,-21.379382,-4.001098,-20.746835,-20.889071,29.591698,1,cluster5
277,-16.549611,397.800866,417.058708,-397154.040672,9.417917,-436.576938,412.77896,-19.820452,-19.803165,35.148973,1,cluster5
278,-19.441695,-17.009905,3.951749,-398294.810665,8.081153,-20.357066,2.727575,-20.806171,-19.913384,32.327167,1,cluster5
279,-22.0476,524.227738,536.414992,-398313.290241,9.930974,-553.26485,535.479937,-26.75942,-24.251728,45.208434,1,cluster5
280,6.251883,561.946172,557.336517,-400324.592624,-0.135872,-567.274163,554.398719,-4.004876,6.360141,3.142924,1,cluster6
281,-3.995988,781.883159,773.404448,-403576.439203,1.890804,-786.786736,780.888621,1.298603,-3.773819,-10.198922,1,cluster2
282,-5.706737,1432.180019,1413.553008,-406474.065404,-0.158704,-1444.461615,1434.57788,-0.761248,0.206314,18.676074,1,cluster2
283,-12.317444,-24.913942,2.963657,-409123.138006,14.495868,-16.541313,-1.084654,-13.625409,-12.735569,17.143336,1,cluster6
284,5.651292,15.214078,8.676008,-409358.781214,0.798784,-29.269531,13.408071,0.038548,3.935954,-2.961048,1,cluster6
285,8.947167,-2.489555,-1.565391,-415358.687579,-5.581165,-29.789613,-22.414501,14.581196,0.625081,0.87281,1,cluster6
286,-7.853529,52.809767,66.930861,-416428.113467,1.932857,-83.818194,58.75671,-10.914962,-7.954322,12.326563,1,cluster6
287,-14.472264,61.41864,94.590033,-417283.219052,12.690064,-111.745805,91.434125,-7.692294,-5.912098,21.601387,1,cluster6
288,11.184333,-15.306258,-3.83426,-417558.874163,-1.751947,-21.480514,7.221643,24.927591,20.945692,-14.952129,1,cluster6
289,10.546914,-17.470762,-3.364079,-417620.578703,-4.478981,-23.255254,4.748923,21.959833,17.754658,-22.707421,1,cluster6
290,-5.991691,430.921845,439.097785,-417661.024194,-5.584892,-470.375253,425.984619,2.410876,-9.929773,20.251903,1,cluster6
291,-4.387132,19.106197,31.637076,-419087.826301,10.638808,-52.681249,31.401312,-0.456072,-4.090384,12.508657,1,cluster6
292,0.018845,1025.685026,1031.925569,-419117.709558,7.610026,-1059.441579,1040.656337,2.427991,-2.526985,20.872013,1,cluster2
293,-42.398238,-49.822469,24.911544,-423176.044864,23.016252,-35.144306,-7.716531,-44.050539,-40.77404,63.721088,1,cluster3
294,-45.479433,82.047042,144.940109,-423393.545707,27.841674,-178.099519,124.244071,-45.998469,-33.567523,75.991245,1,cluster3
295,-37.502,-34.174597,25.365823,-423397.000453,25.393565,-62.593327,6.495686,-50.999589,-37.858558,68.367501,1,cluster3
296,-37.671026,-47.13355,10.820396,-423429.884289,26.494988,-47.45484,-6.523201,-48.954243,-35.677687,70.738727,1,cluster3
297,-36.76544,31.87448,93.849966,-423471.335276,25.431302,-120.751101,78.832304,-42.885511,-30.40089,74.424365,1,cluster3
298,-36.76544,31.87448,93.849966,-423473.067327,25.431302,-120.751101,78.832304,-42.885511,-30.40089,74.424365,1,cluster3
299,-35.022888,499.893722,561.956562,-423476.296625,23.114235,-588.675452,545.648249,-44.461722,-32.768703,76.541993,1,cluster3
300,-35.022888,499.893722,561.956562,-423478.028675,23.114235,-588.675452,545.648249,-44.461722,-32.768703,76.541993,1,cluster3
301,-49.873105,323.230081,371.231984,-423489.59492,26.866606,-405.173008,362.378435,-53.272882,-36.940852,92.051772,1,cluster3
302,-39.401688,87.111186,145.61778,-423486.824295,21.699244,-179.624142,149.31774,-39.565667,-23.721879,77.708528,1,cluster3
303,-39.401688,87.111186,145.61778,-423488.556346,21.699244,-179.624142,149.31774,-39.565667,-23.721879,77.708528,1,cluster3
304,-37.584073,280.623048,336.677538,-423494.634091,22.941724,-370.887158,340.35906,-40.526101,-24.140691,79.583459,1,cluster3
305,-37.584073,280.623048,336.677538,-423496.366142,22.941724,-370.887158,340.35906,-40.526101,-24.140691,79.583459,1,cluster3
306,-50.131052,13.973597,57.63529,-423543.349455,29.550415,-102.225529,75.848603,-47.702664,-18.919206,103.280078,1,cluster3
307,-50.131052,13.973597,57.63529,-423545.081505,29.550415,-102.225529,75.848603,-47.702664,-18.919206,103.280078,1,cluster3
308,-45.094995,136.231627,190.737699,-423547.958754,26.876247,-224.320123,203.444681,-39.472616,-18.809287,90.409672,1,cluster3
309,-45.094995,136.231627,190.737699,-423549.690804,26.876247,-224.320123,203.444681,-39.472616,-18.809287,90.409672,1,cluster3
310,-48.065775,-31.255157,15.703539,-423574.623023,27.483896,-39.423951,7.969268,-52.753211,-38.491625,88.162846,1,cluster3
311,-46.283162,-37.751786,17.390653,-423594.505,29.837138,-39.802831,12.488135,-49.708169,-28.422281,86.203532,1,cluster3
312,-53.731213,34.18634,76.740908,-423615.17385,30.352323,-109.726753,77.060299,-55.904779,-25.352691,108.361227,1,cluster3
313,-43.316725,124.305369,178.391396,-423646.901317,29.924214,-214.475186,180.474631,-44.531189,-18.630273,87.44442,1,cluster3
314,-48.433422,-14.663553,40.31084,-423765.596254,30.934121,-59.954647,30.874603,-49.335619,-20.761784,95.000008,1,cluster3
315,-52.058205,53.517215,101.126303,-424431.804804,31.983997,-116.010629,89.294439,-59.341825,-21.566356,108.510377,1,cluster3
316,-47.893061,-3.373159,22.788322,-424951.893027,48.401387,-58.704622,33.683836,-66.070819,30.165777,155.720441,1,cluster3
317,-47.893061,-3.373159,22.788322,-424953.625078,48.401387,-58.704622,33.683836,-66.070819,30.165777,155.720441,1,cluster3
318,-47.893061,-3.373159,22.788322,-424955.357129,48.401387,-58.704622,33.683836,-66.070819,30.165777,155.720441,1,cluster3
319,-47.893061,-3.373159,22.788322,-424957.089179,48.401387,-58.704622,33.683836,-66.070819,30.165777,155.720441,1,cluster3
320,-48.643242,-23.796748,19.636192,-424966.685837,36.409772,-48.505735,13.872727,-57.878337,-6.289343,115.83276,1,cluster3
321,6.218535,56.575848,49.881133,-425618.311721,2.479732,-72.019692,49.648114,-2.757557,1.931642,1.539177,1,cluster6
322,5.714792,988.965133,981.029082,-426347.589449,0.226586,-1006.329612,990.717195,9.777909,8.718625,-5.56267,1,cluster2
323,-48.088606,-17.189198,17.53985,-427817.848384,39.762159,-55.911658,17.087975,-63.504506,1.527756,126.920747,1,cluster3
324,-43.920371,-14.452101,15.300553,-428031.334563,35.162644,-57.573783,17.672351,-63.361976,1.890383,128.567905,1,cluster3
325,-2.95252,29.598984,30.025615,-429306.793111,11.263933,-57.474838,22.314972,-20.444636,-6.983332,28.269306,1,cluster6
326,2.851839,54.663304,56.39943,-429706.929952,12.84074,-89.564877,44.872981,-24.839467,7.856079,33.556882,1,cluster6
327,-1.282827,3.412664,14.815848,-430815.569511,10.237945,-14.715462,-13.31711,-25.231404,-1.783176,30.723583,1,cluster6
328,-42.029908,-3.7307,26.563911,-431832.771951,36.822401,-72.305884,30.779358,-67.247801,0.326678,127.47127,1,cluster3
329,-48.922286,6.577917,33.062265,-432164.965803,40.100021,-69.373038,30.469596,-71.211549,-3.510455,134.766131,1,cluster3
330,-42.522537,-10.505841,18.45664,-439981.068601,41.701849,-67.167866,15.593678,-70.08715,15.085446,135.167868,1,cluster3
331,-49.759577,-4.644792,28.325175,-440131.664044,46.3282,-54.5152,16.992043,-71.761126,16.54917,147.024945,1,cluster3
332,-10.661735,-27.513219,-12.277503,-440574.152734,2.635819,-33.549817,-6.961782,-1.065133,-0.797748,23.833362,1,cluster6
333,-52.258264,9.257455,25.842944,-441910.811418,55.124798,-58.482476,10.999188,-93.3861,20.461286,169.757387,1,cluster3
334,13.385355,-2.223526,13.966031,-442248.057319,6.763823,-3.295384,6.407563,1.916039,0.894575,-28.278582,1,cluster6
335,-45.481486,7.519206,28.578029,-442816.63798,52.005986,-72.381575,10.099513,-88.974104,41.18322,168.563761,1,cluster3
336,-3.945059,241.40401,261.142115,-443490.660011,3.147776,-272.025989,252.671811,-0.319584,-5.588524,2.670365,1,cluster6
337,-42.437991,19.79779,26.846888,-444585.073782,61.251686,-69.344493,-3.188366,-105.596411,47.38268,183.972955,1,cluster3
338,-8.978653,27.600197,42.092621,-445048.117588,6.000302,-54.672283,37.741101,-2.864039,-8.432976,4.794144,1,cluster6
339,-20.129651,-26.72921,1.785513,-445371.124225,16.781625,-35.360075,-6.351934,-23.834949,-17.645733,40.93924,1,cluster6
340,-10.08064,147.434456,181.351368,-445386.333814,9.781557,-212.075263,171.838741,-15.531355,-19.308593,23.853225,1,cluster6
341,-18.862525,-26.728501,4.894998,-445494.063429,14.619218,-42.239591,-0.923838,-20.604291,-13.929393,35.352856,1,cluster6
342,-41.200214,22.601777,29.738076,-445547.05245,60.818213,-68.850808,-2.837194,-108.290365,52.158122,189.582615,1,cluster3
343,-14.593014,-21.269105,7.353313,-445659.52992,13.664636,-31.677941,-4.194164,-20.135706,-20.280814,32.55686,1,cluster6
344,-17.579361,576.473145,600.746287,-445673.302721,16.742768,-630.956442,596.551372,-18.296783,-18.851543,42.595903,1,cluster6
345,-25.645816,-4.751936,12.664928,-445674.044552,19.018941,-42.549641,13.660187,-36.762399,-25.270781,51.565269,1,cluster3
346,-14.114715,-23.499889,-7.353018,-445780.12294,13.552623,-38.541648,5.038959,-22.705782,-13.023659,43.661204,1,cluster6
347,-14.005088,-23.700775,-4.642037,-445788.071245,12.194782,-38.359124,5.754448,-22.015768,-11.407799,43.794125,1,cluster6
348,-13.226366,184.158146,200.540572,-445799.377929,11.501648,-246.334429,214.534371,-21.185313,-10.333877,47.716447,1,cluster6
349,-14.434043,-17.94493,3.054514,-448181.30945,2.882791,-22.928742,10.818781,-4.167229,-2.758213,16.660038,1,cluster6
350,-6.604532,-22.75322,-1.995739,-461210.984128,5.664474,-31.948181,-4.932485,-9.006077,-4.726514,15.982801,1,cluster6
351,-3.787374,303.09104,313.288653,-461214.354605,4.519981,-356.297658,318.441834,-9.155403,-6.817811,16.678689,1,cluster6
352,4.045995,1.000067,-2.555646,-463628.573638,0.591164,-16.900333,-0.246245,2.862875,4.175522,-0.203199,1,cluster6
353,-7.08341,-15.738943,3.486492,-464899.059104,1.493094,-22.82491,-0.961467,-12.478493,-13.053375,9.405691,1,cluster6
354,-15.802851,123.056423,141.013626,-464913.164536,5.682698,-157.456748,139.772474,-16.435507,-13.520971,24.584208,1,cluster6
355,0.392604,1101.667927,1085.470551,-465122.800852,-0.939055,-1111.669372,1101.172795,-0.903185,0.107795,-1.999492,1,cluster2
356,-18.834935,16.297492,36.287702,-482950.645532,8.846399,-36.278351,23.933751,-20.491947,-21.443161,24.61331,1,cluster6
357,-9.896586,93.132357,121.800843,-484367.596529,4.197716,-121.699761,109.39109,-5.52347,-8.128123,10.399767,1,cluster6
358,-8.264274,157.094931,166.359999,-494843.787415,2.184348,-210.437178,171.359321,-4.964425,-5.344918,25.279109,1,cluster6
359,-8.327217,157.939727,166.210291,-495175.613324,1.877346,-210.546997,173.859894,-4.636251,-4.365319,26.738107,1,cluster6
360,-14.556255,233.882573,251.233268,-509250.107535,9.80146,-262.258433,248.194805,-14.726751,-16.092809,24.719073,1,cluster6
361,-14.738754,3685.295545,3678.932206,-517298.094616,0.293473,-3672.274404,3682.335236,-2.380671,-10.907041,-7.903087,1,cluster2
362,-17.998946,2.459282,24.885683,-520077.497092,7.180718,-24.693324,14.812652,-13.840428,-18.142323,17.514419,1,cluster6
363,-25.443712,68.21912,79.869576,-522595.104509,17.81786,-104.494642,82.9565,-37.757408,-22.240886,60.073374,1,cluster3
364,-4.343644,57.910789,71.989979,-532016.077887,9.03355,-77.527818,67.884249,-8.319987,-0.331861,12.280303,1,cluster6
365,7.997471,-1.043704,-0.448733,-534517.156489,2.236306,-19.296965,6.242784,1.167383,7.80597,-4.193817,1,cluster6
366,18.04558,-13.336978,-12.861937,-534788.728199,3.710846,-16.480715,-0.784605,16.80111,21.271644,-5.942845,1,cluster6
367,-5.149629,33.844502,48.268375,-537963.07631,9.85314,-53.15775,42.761154,-6.332682,1.572746,11.76092,1,cluster6
368,-4.945972,98.158251,120.240109,-550880.783169,4.697871,-133.995715,113.964718,-7.127096,-4.929746,4.979166,1,cluster6
369,-23.883001,142.584939,160.688458,-551154.534575,18.799318,-179.713984,161.549484,-23.801245,-11.150509,43.846674,1,cluster6
370,-14.922502,-15.314316,-3.130298,-551577.609263,-3.567695,-11.864465,-21.968249,-7.971477,-12.810101,21.266131,1,cluster6
371,-7.950689,287.401648,299.904782,-552806.445084,7.584527,-323.611576,308.666516,-5.364871,-1.783296,17.175156,1,cluster6
372,-7.287477,1245.376743,1232.075924,-554561.0891,4.261113,-1246.898917,1247.478795,2.469581,-10.768411,-1.940937,1,cluster2
373,0.833218,15.119953,9.569187,-555044.918121,0.034969,-17.528826,12.531774,-8.419642,-2.719211,-9.417493,1,cluster6
374,-3.576467,-11.428987,5.176984,-555257.113809,5.697429,-32.661605,8.245984,-2.162332,4.167342,5.662226,1,cluster6
375,-1.900461,120.361485,135.716702,-555721.913706,3.168823,-159.213792,137.560567,-4.48628,-4.453744,0.018227,1,cluster6
376,0.7633,-23.240505,-5.267863,-556086.827539,4.655288,-26.93019,2.533452,3.467459,9.319652,1.626094,1,cluster6
377,-1.473404,-12.157938,2.673978,-557803.756033,3.9168,-20.2385,1.304197,-2.192373,-3.016768,1.214082,1,cluster6
378,-8.007995,-27.592425,-0.496726,-558173.552115,5.990367,-22.278048,3.694485,4.605412,0.488608,6.052461,1,cluster6
379,-5.237763,599.168246,618.643408,-558310.43372,4.042665,-649.400939,630.431869,5.66291,1.160165,14.018622,1,cluster6
380,2.432517,473.592469,480.222189,-558581.996988,-1.43078,-479.713927,476.799064,9.430614,2.060096,-11.534008,1,cluster6
381,0.918632,1253.846877,1245.027488,-565355.695968,3.520431,-1260.734913,1254.942441,2.021278,5.110948,-0.39848,1,cluster2
382,4.39858,828.925855,825.504895,-571013.416431,0.215247,-837.188243,831.171719,12.443651,2.997019,-1.410114,1,cluster6
383,11.699779,-10.97383,-3.059945,-574271.634927,3.336423,-16.198638,5.306457,16.033937,14.687625,-23.538289,1,cluster6
384,-11.211399,2308.362013,2312.368669,-576910.570394,8.70796,-2317.438468,2309.221345,-7.059051,-12.121726,7.093476,1,cluster2
385,3.163797,-19.741823,-5.030382,-579933.2553,5.483731,-25.554685,1.976326,2.971608,9.245414,2.661721,1,cluster6
386,-1.326673,217.129043,224.791925,-581201.38012,6.279058,-237.460702,221.710523,-10.372817,-9.322247,7.128258,1,cluster6
387,1.643624,-3.446825,-0.910122,-585583.874684,8.870193,-21.903443,-5.475769,-10.130872,-2.578659,12.035759,1,cluster6
388,-0.423374,1596.093696,1582.514145,-585605.622145,10.00336,-1622.741944,1594.104991,-9.066672,-4.397302,25.310689,1,cluster2
389,4.513258,-20.461464,-2.768331,-586512.985757,6.152782,-24.758904,2.978492,4.559828,11.430194,2.875767,1,cluster6
390,-1.179995,588.107425,599.049624,-587437.177869,5.462776,-606.241743,594.803649,-7.913336,-7.898631,5.287789,1,cluster6
391,5.431483,187.482126,192.043422,-587482.986803,-2.512589,-187.261025,186.575352,4.977517,3.098425,-8.73683,1,cluster6
392,-19.036649,135.210643,149.710564,-588565.991162,12.210273,-153.999217,144.243463,-20.814299,-20.458768,29.813453,1,cluster6
393,-8.61625,46.762545,77.101548,-599040.975129,10.328154,-75.15889,57.674617,-14.194422,-11.717725,20.489798,1,cluster6
394,-13.833022,-13.36866,8.71781,-608651.783598,14.750172,-5.856024,-8.260589,-21.007557,-16.045411,28.631735,1,cluster6
395,-11.871785,1240.235803,1252.146657,-608960.308812,15.099388,-1270.724622,1254.313735,-13.221786,-10.984263,34.844762,1,cluster2
396,-11.828851,32.753451,17.163466,-610017.779549,5.116294,-38.773356,42.530117,-13.088262,-11.290152,-8.766323,1,cluster6
397,-22.688065,5.635083,18.902318,-610061.607159,7.072983,-24.01415,18.135718,-21.107012,-23.030917,3.381392,1,cluster6
398,-7.842773,187.477699,212.700664,-613877.608639,9.769659,-218.154598,197.391124,-14.276762,-16.017898,17.030798,1,cluster6
399,-10.360581,-4.018346,-0.429077,-614173.217973,4.464018,-2.345766,0.013869,-2.753322,-7.909058,-9.180558,1,cluster6
400,-17.227094,1235.797588,1247.869863,-615008.091592,10.603036,-1261.202774,1245.752334,-15.147853,-18.75475,24.976869,1,cluster2
401,11.942126,-12.342651,-16.20558,-617035.145627,2.308941,-25.062654,-0.176331,19.218736,15.291542,-13.194259,1,cluster6
402,-25.491083,1013.894153,1020.579964,-617100.277346,7.903564,-1027.66519,1024.227129,-27.057504,-28.225683,30.588988,1,cluster2
403,-27.000608,328.66757,333.332836,-623108.460589,10.677745,-339.332911,340.806359,-27.400575,-27.621608,30.354197,1,cluster6
404,0.253346,6.474509,7.192438,-624562.414303,-2.343155,-9.668884,10.14544,3.453501,3.263829,-4.848251,1,cluster6
405,11.790605,-4.002145,-9.650422,-626679.058628,0.976579,-18.245926,3.039066,5.076213,10.609857,-7.233935,1,cluster6
406,-0.977566,550.152383,545.638967,-628739.449503,1.34756,-580.648339,560.435962,-3.30853,-0.585447,12.91545,1,cluster6
407,-23.256014,542.581566,550.935523,-629435.441862,8.18872,-566.594482,554.551542,-19.352126,-21.235405,19.808182,1,cluster6
408,-2.042051,-9.189688,13.299341,-629503.537167,9.219131,-14.117962,4.789574,-8.461699,-0.838767,2.034302,1,cluster6
409,-25.917381,242.040295,247.62737,-632139.570544,10.56379,-257.76964,253.180734,-26.244074,-25.630506,24.643423,1,cluster6
410,-0.609159,3.095355,-6.45366,-632861.921136,7.139666,-9.722156,-0.044833,-0.858037,3.300446,6.989158,1,cluster6
411,-4.562369,-15.325333,-2.087463,-635169.200461,5.424191,-24.273858,0.199477,-4.201129,0.247862,8.022297,1,cluster6
412,-17.257241,-20.282379,-1.685102,-635651.491714,10.657451,-28.715365,6.449144,-12.504622,-3.884989,28.9275,1,cluster6
413,-26.002421,10.106349,19.828584,-635675.34749,10.755149,-22.380579,21.379855,-26.93794,-16.919012,31.587202,1,cluster6
