@relation csv_result-credit_edit20_clustered

@attribute Instance_number numeric
@attribute id numeric
@attribute source_0 numeric
@attribute source_1 numeric
@attribute source_2 numeric
@attribute source_3 numeric
@attribute source_4 numeric
@attribute source_5 numeric
@attribute source_6 numeric
@attribute source_7 numeric
@attribute source_8 numeric
@attribute source_9 numeric
@attribute source_10 numeric
@attribute source_11 numeric
@attribute source_12 numeric
@attribute source_13 numeric
@attribute source_14 numeric
@attribute source_15 numeric
@attribute source_16 numeric
@attribute source_17 numeric
@attribute source_18 numeric
@attribute source_19 numeric
@attribute class {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13}

@data
242,243,-0.004308,0.025961,-0.02861,0.022256,0.016812,0.008565,0.022864,0.003719,0.021782,0.024245,0.014361,0.031359,-0.011195,-0.013114,0.051638,-0.009211,0.022905,-0.014419,0.011861,0.032517,1,cluster8
243,244,-0.017215,-0.045968,0.001713,-0.025842,-0.02504,0.022249,0.036399,-0.060345,0.043794,0.018169,-0.05515,0.036368,-0.02205,0.019948,0.011352,-0.047452,0.013306,-0.004974,-0.02679,-0.066676,1,cluster2
244,245,-0.023094,-0.005728,-0.020791,-0.013077,0.009312,0.028754,-0.011752,0.010988,0.006649,0.042698,-0.004321,-0.015104,-0.000239,0.024166,0.01595,-0.033807,0.004355,-0.016041,-0.01307,0.015642,1,cluster4
245,246,-0.028819,0.045261,0.071,-0.009031,0.006058,-0.075527,0.017158,0.003517,0.001883,-0.004491,0.036728,0.051117,-0.001123,-0.015975,-0.02962,-0.065986,0.01173,0.028852,-0.000613,-0.027012,1,cluster2
246,247,-0.03889,-0.012643,0.025661,-0.02141,0.012829,0.007143,-0.014456,-0.074688,0.014998,-0.001479,0.022806,0.025044,-0.013885,0.034591,0.00107,-0.00469,0.007951,0.00114,0.035218,0.004582,1,cluster8
247,248,-0.027244,0.008239,-0.007761,-0.033124,0.005819,-0.027526,0.010085,-0.055588,0.004393,0.02257,0.010344,0.001455,-0.023001,-0.010164,0.034095,-0.022408,-0.001857,0.012954,0.010167,0.020912,1,cluster8
248,249,-0.024498,0.002767,-0.012125,-0.033807,0.002584,-0.028072,0.006844,-0.041241,0.005612,0.022877,0.012237,0.000516,-0.023465,-0.008736,0.028874,-0.019079,-0.004398,0.009246,0.006508,0.014005,1,cluster8
249,250,-0.017123,-0.008536,0.002623,-0.043635,-0.009341,-0.011582,-0.009741,-0.037181,-0.003103,0.018444,0.014042,0.005921,-0.021982,0.013882,0.01704,-0.030024,-0.003933,0.003512,0.008811,-0.008401,1,cluster8
250,251,-0.017034,0.011559,0.004786,-0.051315,0.012139,-0.016188,0.012879,-0.03029,-0.0021,-0.002226,0.018551,-0.009975,-0.024499,0.012188,0.039039,-0.056366,-0.001654,0.002355,-0.011043,-0.002115,1,cluster8
251,252,0.013639,-0.011742,-0.014912,-0.045394,-0.050251,0.008609,-0.020967,-0.023026,0.012611,0.041817,-0.020339,0.003983,-0.005781,0.001828,-0.021144,-0.00658,0.019638,-0.026144,0.010133,-0.014011,1,cluster4
252,253,0.001536,-0.026975,-0.020454,-0.02786,-0.060408,0.010848,-0.014146,0.010509,0.028,0.048536,-0.006927,-0.000858,-0.011761,0.006802,-0.023952,-0.025529,0.015186,-0.019023,0.021825,-0.00811,1,cluster4
253,254,0.024749,0.005796,-0.029139,-0.016903,-0.053207,0.015322,-0.0093,0.023605,0.025654,0.041455,-0.010311,0.030137,0.011428,0.003704,-0.026354,-0.008102,0.029655,-0.028243,0.003943,-0.007881,1,cluster4
254,255,-0.010611,-0.022638,-0.028067,-0.018848,-0.038945,0.020711,-0.015576,-0.021222,0.006286,0.07572,-0.016334,-0.020634,0.010817,0.025018,-0.018621,-0.005699,0.013125,-0.038431,-0.012724,0.030056,1,cluster4
255,256,0.009063,0.022103,-0.041802,0.030361,-0.000857,0.015821,0.039933,0.004821,0.008307,0.031461,0.010947,-0.002787,0.017907,0.022501,0.046078,0.001763,0.016161,-0.012644,-0.014692,0.016446,1,cluster8
256,257,0.01576,-0.009407,-0.020743,-0.04674,-0.051149,0.013766,-0.02347,-0.027197,0.02339,0.043291,-0.025001,0.004899,0.000463,0.002409,-0.016251,-0.004979,0.022538,-0.034244,0.003262,-0.010874,1,cluster4
257,258,0.019057,0.004637,-0.010371,0.008827,-0.029681,0.026315,-0.007986,0.00199,0.020531,0.071559,-0.005752,0.015653,0.003352,0.01692,-0.020583,0.005536,0.020839,-0.010505,0.004895,0.001434,1,cluster4
258,259,0.004173,-0.027725,0.009754,-0.031544,-0.035902,-0.015557,-0.006734,-0.02803,-0.013052,0.041288,-0.008554,0.010684,-0.026904,-0.015267,-0.028351,-0.01964,0.011876,-0.000112,0.013849,-0.002013,1,cluster4
259,260,0.004595,-0.017986,0.036296,-0.053484,0.016492,-0.022525,-0.006126,-0.058059,-0.001602,-0.031135,0.033039,-0.013468,-0.027252,0.03508,0.038216,-0.040429,0.044827,-0.008013,0.007464,-0.00601,1,cluster2
260,261,-0.001253,-0.027804,-0.021044,-0.008451,-0.034427,0.002124,0.033935,-0.027605,0.028814,0.072447,-0.018219,-0.006802,-0.011351,0.014979,0.016308,-0.031804,0.00524,-0.003,-0.060078,-0.023442,1,cluster4
261,262,0.009985,0.056903,-0.027347,-0.031102,-0.008157,0.00371,-0.017298,-0.004798,-0.007535,-0.000755,0.045779,0.039067,0.014214,-0.039269,0.033306,0.003989,0.030569,-0.000578,-0.007765,0.012768,1,cluster8
262,263,-0.024548,0.007422,0.0013,0.019001,0.030117,-0.008076,0.009512,0.0243,-0.001202,-0.013991,0.060655,0.040128,-0.022319,-0.013946,0.042388,-0.003573,0.016431,0.013262,0.023422,0.018855,1,cluster8
263,264,-0.025779,-0.031427,0.004794,0.005482,0.00257,0.0338,-0.026958,-0.011313,-0.002325,0.051757,0.045489,-0.021378,-0.013144,0.041345,-0.007102,0.018708,0.016224,0.002263,0.014199,0.010457,1,cluster2
264,265,-0.012382,0.023845,-0.001381,0.006589,-0.010765,-0.010569,-0.043002,-0.001101,-0.008896,0.032014,0.059642,0.020332,0.003468,0.013422,-0.019064,0.021585,0.007245,0.012875,0.045532,-0.001304,1,cluster8
265,266,-0.011625,0.049959,-0.022849,0.021265,-0.009035,-0.043583,-0.009083,-0.027957,0.036805,0.027486,0.029389,0.001766,0.028809,0.010294,-0.003133,0.013561,-0.016055,0.020528,0.022372,0.00731,1,cluster8
266,267,-0.011626,0.049958,-0.022849,0.021264,-0.009035,-0.043583,-0.009083,-0.027957,0.036805,0.027486,0.02939,0.001767,0.028809,0.010295,-0.003133,0.013561,-0.016055,0.020528,0.022372,0.00731,1,cluster8
267,268,-0.004912,0.05947,-0.0486,0.012432,0.008804,-0.055905,0.000087,-0.035265,0.034102,0.019734,0.020654,-0.027388,0.016023,0.006181,-0.007558,0.024388,-0.041759,0.002316,0.028262,-0.017125,1,cluster8
268,269,-0.004913,0.059469,-0.0486,0.012432,0.008804,-0.055905,0.000087,-0.035265,0.034102,0.019735,0.020654,-0.027387,0.016023,0.006182,-0.007558,0.024388,-0.041759,0.002315,0.028262,-0.017126,1,cluster8
269,270,0.010606,0.023041,0.016934,0.049601,0.002333,-0.015961,-0.043073,-0.037954,0.00823,0.058837,0.042295,0.012263,-0.008585,0.072711,-0.008875,0.049505,-0.006024,-0.020143,0.000534,0.025059,1,cluster2
270,271,0.012472,0.025208,-0.039952,-0.01802,0.024066,0.020923,-0.011329,0.016495,0.010906,0.039117,-0.015193,0.019838,-0.017653,0.034031,0.020744,0.011351,-0.004353,-0.015693,-0.024462,-0.008806,1,cluster8
271,272,0.010038,0.002377,0.003807,0.003442,-0.025057,0.018819,-0.026665,-0.086562,0.021126,0.041241,0.038963,0.013845,-0.012221,-0.015372,0.027128,0.024812,0.043947,-0.031184,-0.00943,0.005659,1,cluster8
272,273,0.009418,0.021547,0.010534,0.031311,0.004804,-0.04259,-0.01794,-0.024426,0.020931,0.019518,0.039562,-0.016045,-0.01067,0.033709,0.016699,0.028153,0.003771,-0.023147,-0.024881,0.018469,1,cluster8
273,274,0.009417,0.021546,0.010534,0.031311,0.004804,-0.04259,-0.01794,-0.024427,0.020931,0.019519,0.039563,-0.016044,-0.01067,0.03371,0.016699,0.028152,0.003771,-0.023147,-0.024881,0.018469,1,cluster8
274,275,-0.016485,0.02585,0.00567,0.041052,-0.002666,-0.00586,0.000462,-0.017074,0.013183,0.031078,0.033973,0.001426,-0.015587,0.037034,0.021849,0.035555,-0.034364,-0.029683,-0.022245,-0.000447,1,cluster8
275,276,-0.016486,0.025849,0.00567,0.041052,-0.002666,-0.005861,0.000462,-0.017074,0.013183,0.031079,0.033974,0.001427,-0.015587,0.037035,0.02185,0.035555,-0.034363,-0.029684,-0.022245,-0.000447,1,cluster8
276,277,-0.018895,0.020677,0.011431,0.013393,0.009493,-0.028803,-0.013762,-0.018109,0.001077,0.023643,0.029243,0.060679,-0.005166,-0.015648,-0.003738,-0.022614,0.004349,0.007003,0.027443,0.008011,1,cluster8
277,278,-0.026125,0.017946,0.005614,0.017189,0.017014,-0.001209,-0.003941,-0.015147,-0.002916,0.026327,0.022957,0.053845,-0.018426,0.007182,-0.002753,-0.000263,-0.008963,-0.004851,0.034575,-0.016334,1,cluster8
278,279,-0.026614,0.002836,0.021765,0.027405,0.008154,-0.015151,-0.014163,-0.010173,-0.000211,0.026271,0.033473,0.049195,-0.005006,0.00413,-0.016211,0.00649,-0.008123,-0.021962,0.013745,0.004528,1,cluster8
279,280,-0.030996,0.01787,0.022262,0.019287,0.02552,0.023623,-0.003831,0.016329,-0.013817,0.009198,0.0407,0.067068,-0.029144,0.036382,0.007232,-0.000244,-0.029595,-0.016855,0.010195,-0.01871,1,cluster8
280,281,-0.018201,0.019638,-0.037346,-0.02163,-0.048557,0.011138,-0.023663,-0.065562,-0.019158,0.026575,0.043087,0.022707,-0.012601,-0.017152,0.016044,-0.009911,0.04836,-0.05169,0.04338,-0.008831,1,cluster8
281,282,-0.011923,-0.018163,-0.024894,-0.024883,0.050603,-0.006734,0.014162,0.000711,0.036175,-0.049614,0.00197,0.067154,-0.013909,0.020478,-0.026192,-0.01639,0.019268,-0.066355,0.010786,0.013685,1,cluster2
282,283,-0.05005,-0.020666,-0.019055,-0.001157,0.022976,0.120849,-0.000299,0.061592,-0.033143,-0.003098,0.056968,0.022456,-0.038172,0.068409,0.016118,0.03237,-0.02083,-0.050443,-0.103503,-0.06624,1,cluster6
283,284,-0.026505,-0.030047,-0.024479,-0.075956,-0.011817,-0.076073,0.082031,-0.121726,0.02795,-0.04661,0.001382,0.018646,-0.001415,-0.008948,0.016879,-0.039578,0.05253,0.024213,0.004207,0.034808,1,cluster2
284,285,-0.011098,-0.004645,0.00062,-0.022914,0.030033,0.037547,-0.013241,0.022842,-0.019498,-0.036587,0.070854,0.013237,0.015064,0.030603,-0.023772,0.038778,0.036822,-0.02062,0.027319,0.000092,1,cluster2
285,286,0.033915,-0.085725,0.018464,0.077739,-0.007296,0.046944,-0.014677,-0.011577,-0.024129,-0.071326,-0.04414,-0.020714,-0.04715,0.000943,0.038851,-0.002883,0.059367,-0.023604,0.011892,0.02878,1,cluster2
286,287,0.016566,-0.016121,-0.001335,0.08726,0.003987,-0.008271,-0.008655,-0.009259,-0.082506,0.036944,0.023261,0.010674,-0.005821,0.008558,-0.004579,0.008338,0.023441,0.011542,0.023925,0.010924,1,cluster2
287,288,-0.004939,-0.047555,-0.035258,-0.031884,-0.000496,-0.050795,0.047362,-0.081069,-0.034306,-0.012041,-0.058109,-0.015142,-0.010275,0.030434,0.007823,-0.00567,0.027415,0.042909,-0.012329,0.013842,1,cluster2
288,289,0.016649,-0.062205,-0.036039,0.025941,-0.005495,0.010343,-0.027646,0.009476,-0.026446,0.074563,-0.067771,-0.028081,-0.00907,0.004266,-0.021571,-0.023534,0.024574,-0.022437,-0.045601,0.003325,1,cluster4
289,290,0.016188,-0.042406,-0.043942,0.028734,-0.027275,-0.006104,-0.009751,0.057974,-0.011758,0.022869,-0.058295,0.021942,0.00503,0.004573,-0.033569,-0.034653,0.029943,-0.039365,0.005479,0.007012,1,cluster4
290,291,0.008895,0.00645,-0.000069,0.051795,-0.049954,0.018316,-0.006133,0.001476,-0.108236,-0.006563,-0.069361,0.012313,-0.021081,0.016844,0.033555,-0.033064,-0.039142,-0.00003,-0.003037,0.041243,1,cluster2
291,292,-0.034921,-0.031642,0.033974,0.028933,0.072613,0.022828,0.000726,-0.025426,-0.010338,-0.02658,-0.04556,0.021004,-0.018802,0.035538,-0.011555,-0.017144,0.007195,-0.005615,0.014744,0.000594,1,cluster2
292,293,-0.028246,-0.033116,0.014205,0.031903,0.02702,0.046123,0.034214,-0.027149,-0.037746,-0.007715,-0.075116,0.030363,-0.062993,0.036184,0.034367,-0.021274,-0.022099,-0.031817,0.018514,-0.058382,1,cluster2
293,294,-0.020594,0.010931,-0.026198,0.082749,0.007992,-0.0506,-0.041345,-0.044239,0.036944,0.086546,-0.044891,-0.002177,-0.026217,-0.010195,0.032461,-0.032582,-0.033542,0.024052,0.021697,0.026845,1,cluster2
294,295,-0.048311,0.007383,0.003045,0.056214,0.050839,0.021046,-0.084673,-0.028761,0.036007,0.049399,-0.000434,-0.042348,-0.006248,0.029252,0.007209,0.007932,-0.03258,0.047434,0.020248,0.026403,1,cluster2
295,296,-0.033495,-0.009657,-0.006155,0.063816,0.033966,-0.028084,-0.044052,-0.028178,0.048699,0.006041,0.02339,-0.004006,-0.034852,-0.037041,0.039661,0.011618,-0.012597,0.037663,0.03459,0.047753,1,cluster2
296,297,-0.039837,-0.020078,-0.001014,0.052295,0.042209,-0.024498,-0.04273,-0.021973,0.057308,-0.006333,-0.002107,0.006405,-0.037558,-0.025231,0.034748,0.007584,-0.015741,0.035581,0.026523,0.035789,1,cluster2
297,298,-0.026408,-0.036249,-0.021868,0.048452,0.02274,-0.033123,0.006152,0.017851,0.052066,0.025432,-0.040483,0.046274,-0.042041,-0.013611,0.008427,-0.012891,-0.04488,0.033965,0.020325,0.018919,1,cluster2
298,299,-0.026408,-0.03625,-0.021868,0.048452,0.02274,-0.033123,0.006152,0.01785,0.052067,0.025432,-0.040482,0.046275,-0.042041,-0.013609,0.008428,-0.012891,-0.04488,0.033964,0.020325,0.018918,1,cluster2
299,300,-0.042655,-0.032359,-0.025712,0.081625,0.005688,-0.002363,0.044451,0.011191,0.043534,0.038585,-0.029326,0.062739,-0.040349,-0.0014,0.014445,0.002869,-0.084568,0.029699,0.039832,0.003322,1,cluster2
300,301,-0.042656,-0.03236,-0.025712,0.081625,0.005688,-0.002363,0.044451,0.01119,0.043534,0.038586,-0.029326,0.06274,-0.040349,-0.001398,0.014446,0.002869,-0.084567,0.029698,0.039832,0.003321,1,cluster2
301,302,-0.043262,-0.028506,0.037079,0.041266,0.040415,0.034293,-0.09024,-0.008219,0.015959,0.009228,0.001881,-0.001816,-0.03291,0.044943,0.0281,0.007624,-0.045294,0.022034,0.003752,0.002905,1,cluster2
302,303,0.044732,-0.051019,-0.006225,0.043622,-0.022629,-0.060476,0.007591,0.037741,0.029756,0.022945,0.002117,0.004607,-0.052632,0.006821,-0.001743,-0.047479,0.001685,0.001393,0.008824,0.013207,1,cluster2
303,304,0.044732,-0.051019,-0.006225,0.043622,-0.022628,-0.060476,0.007591,0.03774,0.029757,0.022946,0.002118,0.004608,-0.052632,0.006822,-0.001742,-0.047479,0.001685,0.001393,0.008824,0.013207,1,cluster2
304,305,0.018544,-0.024765,-0.016917,0.048891,0.005349,-0.050347,0.042619,0.05459,0.041711,0.006304,-0.001485,0.000642,-0.046083,0.007233,0.01239,-0.059754,-0.031911,0.009783,-0.01058,0.014716,1,cluster2
305,306,0.018543,-0.024766,-0.016917,0.048891,0.005349,-0.050347,0.042619,0.05459,0.041711,0.006305,-0.001484,0.000643,-0.046083,0.007235,0.012391,-0.059754,-0.031911,0.009782,-0.01058,0.014715,1,cluster2
306,307,0.049894,-0.059267,0.021793,0.007203,0.045881,-0.001861,-0.033349,0.062915,0.019422,-0.031999,0.040861,-0.065146,-0.058814,0.073261,0.023214,0.006398,0.039199,0.023817,-0.00541,-0.002519,1,cluster2
307,308,0.049893,-0.059268,0.021793,0.007203,0.045882,-0.001861,-0.033349,0.062915,0.019423,-0.031998,0.040862,-0.065145,-0.058814,0.073262,0.023215,0.006397,0.039199,0.023816,-0.00541,-0.00252,1,cluster2
308,309,0.050911,-0.03951,-0.005169,0.039925,0.028941,-0.033,0.042545,0.059169,0.037824,-0.004572,0.001985,-0.044726,-0.060503,0.067134,0.017684,-0.034186,0.01628,0.004845,-0.006599,-0.002217,1,cluster2
309,310,0.05091,-0.039511,-0.005169,0.039925,0.028941,-0.033,0.042545,0.059169,0.037824,-0.004571,0.001986,-0.044725,-0.060503,0.067135,0.017684,-0.034186,0.01628,0.004844,-0.006599,-0.002218,1,cluster2
310,311,-0.009495,0.004645,0.026854,0.022654,0.070404,-0.040733,-0.039635,0.028192,0.026845,-0.014714,0.006883,0.020222,-0.027515,0.011618,0.024591,-0.089234,-0.032244,0.032451,-0.01761,0.044991,1,cluster2
311,312,0.000674,-0.028323,0.015164,0.063049,0.030514,-0.039006,0.018152,-0.024974,0.033288,-0.001107,-0.018195,-0.02085,-0.043189,0.029974,0.038439,-0.020581,0.009961,-0.001508,0.011506,0.008067,1,cluster2
312,313,-0.011802,-0.027598,0.027512,0.014667,0.046927,0.018952,-0.085819,0.031677,0.000436,0.010807,0.00951,-0.025439,-0.031243,0.061914,0.013207,-0.001482,-0.019382,0.041909,-0.010873,0.003461,1,cluster2
313,314,-0.005367,-0.030955,0.01918,0.070419,-0.002087,-0.017011,0.02275,-0.054369,0.012521,0.033158,-0.003699,-0.016367,-0.04324,0.024509,0.000729,-0.013559,0.030352,-0.014142,0.046406,0.004555,1,cluster2
314,315,-0.012622,-0.020269,0.00258,0.050516,0.039194,-0.012474,0.00605,0.040939,0.042898,0.00115,-0.01756,-0.001889,-0.037131,0.067137,-0.024789,-0.036142,-0.001549,-0.003228,-0.006757,-0.011995,1,cluster2
315,316,-0.024015,0.001127,0.009692,0.046285,0.036942,-0.014678,-0.013068,0.023879,0.010982,0.008125,0.001418,-0.007093,-0.012744,0.055337,-0.017294,-0.051475,-0.017181,0.01935,-0.010317,-0.012653,1,cluster2
316,317,-0.024628,0.022815,-0.047741,-0.009415,0.011413,-0.026072,0.069247,0.057687,-0.023389,-0.011859,0.002714,-0.054105,-0.047563,0.045712,-0.079908,-0.055335,0.10662,0.01667,-0.022443,-0.077512,1,cluster6
317,318,-0.024629,0.022815,-0.047741,-0.009415,0.011413,-0.026073,0.069247,0.057686,-0.023388,-0.011859,0.002715,-0.054104,-0.047563,0.045713,-0.079908,-0.055335,0.10662,0.016669,-0.022443,-0.077513,1,cluster6
318,319,-0.024629,0.022814,-0.04774,-0.009415,0.011413,-0.026073,0.069247,0.057686,-0.023388,-0.011858,0.002716,-0.054104,-0.047563,0.045714,-0.079907,-0.055335,0.106621,0.016668,-0.022443,-0.077513,1,cluster6
319,320,-0.02463,0.022813,-0.04774,-0.009415,0.011413,-0.026073,0.069247,0.057685,-0.023387,-0.011857,0.002716,-0.054103,-0.047563,0.045715,-0.079907,-0.055335,0.106621,0.016667,-0.022443,-0.077514,1,cluster6
320,321,-0.029567,-0.029647,0.002163,0.036779,0.007159,-0.002159,-0.005249,-0.001898,0.007225,0.008622,-0.019145,0.010845,-0.054354,0.051871,-0.039587,-0.001744,0.045915,0.001525,0.022645,-0.036523,1,cluster2
321,322,0.050476,-0.025774,0.042616,0.004589,0.016127,0.044654,-0.052817,0.035232,-0.049565,-0.034421,0.032224,0.010611,-0.015411,0.016905,-0.028278,0.04879,0.007162,0.052951,0.028402,-0.035669,1,cluster2
322,323,-0.000887,-0.024463,-0.021598,-0.02683,0.040959,0.001539,-0.062535,0.005301,-0.056493,-0.037376,-0.048771,-0.055626,-0.024353,0.013203,-0.012665,0.011744,-0.010285,-0.016575,0.006767,-0.039552,1,cluster2
323,324,-0.052057,-0.028919,0.005053,0.018887,0.013257,0.011189,-0.02634,-0.00203,0.000301,-0.016799,-0.007355,-0.021517,-0.037393,0.035696,-0.03834,0.019557,0.046387,0.015449,0.0073,-0.047503,1,cluster2
324,325,-0.05135,-0.010841,-0.015634,-0.001877,-0.001178,-0.022708,-0.0402,0.025916,-0.013961,0.003307,-0.01056,0.014701,-0.038941,-0.014458,-0.038773,-0.018914,0.013021,0.043433,-0.006908,-0.02184,1,cluster2
325,326,-0.03251,0.0005,0.021636,0.012461,0.047058,-0.019856,-0.070058,-0.063951,-0.057795,-0.041077,-0.000495,-0.000073,-0.019221,-0.061381,0.030141,-0.020092,0.040507,0.031428,-0.008751,-0.001413,1,cluster2
326,327,-0.044421,0.02452,-0.033619,0.033837,-0.001033,-0.036613,-0.036015,-0.071867,-0.06672,-0.009925,0.0059,-0.010092,-0.04844,-0.098121,0.019538,0.011308,0.07834,0.021662,0.001685,-0.013955,1,cluster2
327,328,-0.031117,0.020982,-0.03732,0.052253,-0.01599,-0.071485,-0.011466,-0.063421,-0.064974,0.013343,-0.044624,0.048862,-0.048571,-0.085165,0.009103,-0.042686,0.055788,-0.007132,-0.004787,-0.036721,1,cluster2
328,329,-0.048581,0.015832,-0.038406,0.023983,0.019142,-0.016159,0.015718,0.041817,-0.0144,0.003064,0.031419,0.000907,-0.05044,-0.028518,-0.015637,0.005113,0.011539,0.054381,0.005428,0.01053,1,cluster2
329,330,-0.06226,-0.010106,0.006604,0.008745,0.04969,0.015357,-0.013684,0.047771,0.001074,-0.049237,0.022552,0.024769,-0.030096,0.030181,-0.051378,-0.006582,0.011846,0.044487,0.002685,-0.022967,1,cluster2
330,331,-0.06823,0.00266,-0.025883,0.028565,-0.013712,0.002296,0.005839,0.004602,-0.013396,-0.012448,0.025723,0.008733,-0.039489,-0.005183,-0.093945,0.017051,0.064424,0.033943,0.033746,-0.031805,1,cluster6
331,332,-0.095452,0.073957,-0.052639,0.032672,0.016731,0.006685,0.025953,0.018187,-0.040878,0.056882,-0.011511,-0.019014,-0.007426,0.010713,-0.090901,-0.038265,0.014834,0.048281,-0.011613,-0.030305,1,cluster6
332,333,-0.018801,-0.00368,-0.030294,-0.005208,-0.016893,-0.012595,-0.007051,-0.029051,-0.093224,-0.023739,-0.028382,-0.049383,0.033726,-0.050685,0.008627,0.016185,-0.012139,0.073542,-0.03057,0.067769,1,cluster2
333,334,-0.132362,0.083143,-0.045045,0.03317,0.035176,0.025213,0.023377,-0.034498,-0.058082,-0.006046,0.031667,-0.033776,-0.027176,-0.007281,-0.056399,0.022325,0.075471,0.055269,0.011724,-0.050847,1,cluster6
334,335,-0.020252,-0.021485,0.110871,0.112986,-0.007816,-0.005052,0.050557,-0.002784,-0.022305,-0.066924,0.074992,-0.167529,0.214603,-0.133845,-0.061232,-0.094216,-0.082804,-0.045281,-0.064846,-0.08599,1,cluster6
335,336,-0.143738,0.081993,-0.074505,0.042802,-0.050613,0.009166,0.001462,-0.051998,-0.066623,0.043379,0.034199,-0.026545,-0.016415,-0.03642,-0.149733,0.024535,0.107932,0.039367,0.034127,-0.073219,1,cluster6
336,337,0.027774,0.020281,-0.028001,0.032611,0.011728,-0.026962,-0.026458,0.014605,-0.038148,-0.003029,-0.076803,0.020983,-0.001079,-0.004346,-0.012103,-0.014278,0.002301,-0.013821,-0.00039,-0.015314,1,cluster2
337,338,-0.197455,0.139181,-0.091157,0.033691,-0.029449,-0.02103,0.038395,-0.098591,-0.069742,-0.010872,0.029362,-0.000422,-0.034838,-0.089161,-0.134929,-0.010601,0.155183,0.044211,0.030825,-0.081654,1,cluster6
338,339,0.019875,0.027701,-0.001957,0.049197,0.056879,-0.017007,-0.021345,0.01612,-0.030043,-0.013311,-0.059203,0.024316,0.010614,0.006187,-0.022365,-0.028935,-0.000228,-0.008089,-0.027305,0.020616,1,cluster2
339,340,0.019352,0.040152,-0.000133,0.056585,0.068217,0.016618,-0.064239,-0.011203,-0.031796,0.016724,-0.007524,-0.023432,0.003643,-0.017773,0.005011,0.041103,0.012735,0.050506,-0.0383,0.012343,1,cluster2
340,341,0.046322,0.018997,-0.007819,0.072461,0.001049,-0.048691,-0.014386,-0.044027,-0.028297,0.03192,-0.039908,0.052353,-0.017099,-0.072833,-0.008232,-0.012802,0.018331,0.018588,-0.003823,0.011305,1,cluster2
341,342,0.033556,-0.022234,0.019484,0.070567,0.034481,0.028539,-0.059831,-0.005865,-0.009293,-0.011808,-0.001072,0.000125,-0.006259,0.009404,-0.04041,0.080603,0.03785,0.010302,-0.012461,-0.015808,1,cluster2
342,343,-0.205912,0.136177,-0.115267,0.037196,-0.046767,-0.028104,0.04213,-0.084211,-0.070547,-0.004076,0.01652,0.003193,-0.045938,-0.103731,-0.135107,0.008018,0.153822,0.037309,0.023056,-0.101489,1,cluster6
343,344,0.017587,0.020432,0.003415,0.051856,0.057405,-0.027602,-0.021609,0.015497,-0.003108,-0.018763,-0.045464,0.061467,-0.005313,-0.04308,-0.02336,-0.021658,-0.00583,0.019933,-0.048105,0.006095,1,cluster2
344,345,-0.001573,0.016414,0.016423,0.066748,0.072256,0.04027,0.003881,-0.008517,-0.014001,-0.02105,-0.051377,0.041,-0.025172,0.00816,-0.00235,0.015164,-0.007584,-0.005383,-0.029368,-0.037526,1,cluster2
345,346,0.02682,-0.00605,0.035556,0.073313,0.079626,0.028067,-0.025409,-0.003953,-0.03307,-0.054266,0.02541,-0.00109,-0.030118,-0.001384,0.044608,0.088387,0.027485,0.007234,-0.037902,0.003009,1,cluster2
346,347,0.032515,0.014023,-0.00399,0.035971,0.040217,-0.026678,-0.024131,0.025775,-0.034999,-0.008891,-0.025558,0.028169,-0.037249,-0.066812,0.02589,0.023604,-0.003981,0.035345,-0.06708,0.033364,1,cluster2
347,348,0.029522,-0.007112,-0.009528,0.044819,0.035738,-0.015142,-0.02031,0.052963,-0.019286,-0.018014,-0.026013,0.036773,-0.039835,-0.051132,0.00647,0.047225,-0.009404,0.020549,-0.06693,0.01411,1,cluster2
348,349,0.020112,-0.006789,-0.010586,0.046123,0.034194,-0.000469,-0.013315,0.056373,-0.025929,-0.014191,-0.027226,0.041042,-0.042582,-0.051315,0.010545,0.049589,-0.024365,0.016422,-0.065683,0.003433,1,cluster2
349,350,0.030355,-0.009443,-0.033733,0.056271,-0.021188,-0.024244,0.035404,0.030483,-0.074477,0.026694,-0.040356,0.002503,-0.006526,0.019715,0.002705,0.017227,-0.01548,0.056855,0.001451,0.035525,1,cluster2
350,351,0.015409,-0.005046,-0.009949,0.025393,0.013949,-0.004578,-0.061527,0.047024,-0.053143,-0.02255,-0.021861,-0.014631,0.005909,-0.021194,-0.033793,0.010838,-0.007299,0.037827,0.020662,0.010228,1,cluster2
351,352,0.014634,-0.009567,-0.009846,0.024209,0.030184,-0.027655,-0.050453,0.034223,-0.050799,-0.035004,-0.030342,0.017803,-0.011188,-0.066919,-0.022571,-0.010777,-0.019389,0.040634,0.013375,0.021859,1,cluster2
352,353,0.002102,-0.021604,0.001864,0.0025,0.030348,0.025173,-0.072561,0.041536,-0.066465,-0.052756,-0.023256,-0.037315,-0.013073,-0.001797,0.013367,0.004987,0.004184,0.031904,0.007081,0.00253,1,cluster2
353,354,0.02919,-0.009083,0.00514,0.069858,0.014057,-0.068511,0.001696,0.029036,-0.033233,-0.046801,-0.033887,0.02773,0.023455,-0.040606,-0.032975,-0.047226,-0.040502,0.029897,-0.003427,0.031919,1,cluster2
